Rang;Titre;Périodicité;Période;Document;"Diffusion France Payée";"Evolution en %"
101;"01 Net (ex Micro Hebdo)";Bimensuel;20152016;DSH;100507;-10,85
284;"2 CV Magazine";Bimestriel;20152016;DSH;7411;-9,33
178;"25 Millions de Propriétaires (ex Propriétaire Immobilier)";Mensuel;20152016;DSH;41128;-6,74
128;"30 Millions d'Amis";Mensuel;20152016;DSH;66070;-4,8
183;"Les 4 Saisons du Jardin Bio";Bimestriel;20152016;DSH;38880;-2,12
133;Abricot;Mensuel;20152016;DSH;63114;-3,82
111;"AD - Architectural Digest";Bimestriel;20152016;DSH;92089;-3,75
291;"Afrique Magazine - AM";Bimestriel;20152016;DSH;2337;-9,35
260;"Alpes Loisirs";Trimestriel;20152016;DSH;12524;3,81
116;"Alternatives Economiques";Mensuel;20152016;DSH;85809;0,32
92;"L'Ami des Jardins et de la Maison";Mensuel;20152016;DSH;114435;-6,96
305;Amina;Mensuel;20152016;-;NC;NC
31;"L'Ancien d'Algérie";Mensuel;20152016;DSH;321677;-3,01
235;"L'Argus (ex L'Argus Automobile)";Bimensuel;20152016;DSH;22392;4,25
159;"L'Argus Véhicules Occasion";Trimestriel;20152016;DSH;50228;-7,02
51;"Art & Décoration";Bimestriel;20152016;DSH;223537;7,2
135;Astrapi;Bimensuel;20152016;DSH;62538;6,14
248;"Auto Hebdo";Hebdomadaire;20152016;DSH;16940;-5,24
98;"L'Auto Journal";Bimensuel;20152016;PV;105559;-3,62
172;"L'Auto Journal 4X4";Bimestriel;20152016;DSH;45035;0,15
69;"Auto Moto";Mensuel;20152016;DSH;159826;-6,77
40;"Auto Plus";Hebdomadaire;20152016;PV;274333;-1,52
88;"L'Automobile Magazine";Mensuel;20152016;DSH;119119;7,17
17;Avantages;Mensuel;20152016;DSH;410664;-2,17
143;"Beaux Arts Magazine";Mensuel;20152016;DSH;57381;2,04
166;"Les Belles Histoires";Mensuel;20152016;DSH;48013;11,43
32;Biba;Mensuel;20152016;DSH;312205;-3,9
244;"Bretons en Cuisine";Trimestriel;20152016;DSH;18058;1,61
52;"Ça m'intéresse";Mensuel;20152016;DSH;222527;-5,21
109;"Ca m'intéresse - Questions & Réponses";Trimestriel;20152016;DSH;93380;NA
252;"Les Cahiers du Cinéma";Mensuel;20152016;DSH;15038;-4,2
114;"Campagne Décoration";Bimestriel;20152016;DSH;89418;-10,63
161;"Camping-Car Magazine";Mensuel;20152016;DSH;50021;-3,58
53;Capital;Mensuel;20152016;DSH;211440;-6,87
223;Cars;Mensuel;20152016;DSH;26893;-4,44
140;Causette;Mensuel;20152016;DSH;59221;-2,75
231;"Cerveau & Psycho";Bimestriel;20152016;DSH;24206;NA
57;Challenges;Hebdomadaire;20152016;PV;190233;-3,83
267;"Chasse Marée";Variable;20152016;DSH;11150;-3,1
45;"Le Chasseur Français";Mensuel;20152016;DSH;261152;-3,51
190;"Le Cheminot Retraité";Mensuel;20152016;DSH;37257;-2,05
302;"Cheval Magazine";Mensuel;20152016;-;NC;NC
102;"Citizen K International";Trimestriel;20152016;DSH;99026;8,28
242;Classica;Mensuel;20152016;DSH;20897;-7,74
39;Closer;Hebdomadaire;20152016;PV;278729;-9,23
233;"La Cohorte";Trimestriel;20152016;DSH;22582;NA
176;"Connaissance des Arts";Mensuel;20152016;DSH;41756;2,63
95;"Convergence - Secours Populaire";Bimestriel;20152016;DSH;112745;0,11
27;Cosmopolitan;Mensuel;20152016;DSH;335365;-2,81
;"Couplage Actus Puissance 2 (ex-Couplage Famille Puissance 2)";Mensuel;20152016;DSH;1161228;-3,88
;"Couplage Paris Match Grand Total";Hebdomadaire;20152016;DSH;543528;-4,92
;"Couplage Vocable";Bimensuel;20152016;DSH;65284;-8,63
64;"Courrier International";Hebdomadaire;20152016;PV;165054;-0,22
